FID,id,latitude,longitude,district
0,20,30.044606269999999,72.264136780000001,Vehari
1,38,29.973701110000000,71.893640899999994,Vehari
2,84,29.807788890000001,72.033066739999995,Vehari
3,106,30.066232759999998,72.530023159999999,Vehari
4,274,29.979563550000002,72.059337299999996,Vehari
5,167,30.766182600000000,72.674952649999994,Toba Tek Singh
6,202,31.048339200000001,72.433863439999996,Toba Tek Singh
7,269,30.782740390000001,72.444072230000003,Toba Tek Singh
8,2,32.361530729999998,74.699502310000000,Sialkot
9,62,32.268448270000000,74.553496530000004,Sialkot
10,117,32.125668249999997,74.578042049999993,Sialkot
11,141,32.526250840000003,74.503596369999997,Sialkot
12,155,32.628168080000002,74.431816319999996,Sialkot
13,171,32.504015160000002,74.601858739999997,Sialkot
14,184,32.483100360000002,74.273472780000006,Sialkot
15,205,32.592017380000001,74.391652640000004,Sialkot
16,259,32.556501220000001,74.669912879999998,Sialkot
17,294,32.352814309999999,74.551699369999994,Sialkot
18,175,31.275811099999999,73.849726689999997,Nankana Sahib
19,197,31.285430200000000,73.735709200000002,Nankana Sahib
20,29,32.309093750000002,74.978335490000006,Narowal
21,77,32.322148810000002,74.887201630000007,Narowal
22,282,32.035901969999998,74.764948129999993,Narowal
23,65,30.455229169999999,73.926337889999999,Okara
24,79,30.639489279999999,73.556120199999995,Okara
25,129,30.556229150000000,73.513432480000006,Okara
26,131,30.964925800000000,73.563748450000006,Okara
27,143,30.788130299999999,73.960293519999993,Okara
28,159,30.586507550000000,74.019731260000000,Okara
29,210,30.539880380000000,74.029513789999996,Okara
30,74,30.379977550000000,72.960439289999997,Pakpattan
31,105,30.326338340000000,73.005648919999999,Pakpattan
32,262,30.476843479999999,73.160637080000001,Pakpattan
33,176,31.629656489999999,74.228845089999993,Sheikhupura
34,177,31.914601090000001,73.736845140000000,Sheikhupura
35,189,31.763204699999999,73.813524060000006,Sheikhupura
36,226,31.945677740000001,73.796508549999999,Sheikhupura
37,231,31.742221290000000,74.474629269999994,Sheikhupura
38,237,31.618542309999999,73.986874599999993,Sheikhupura
39,253,31.584997670000000,73.650702949999996,Sheikhupura
40,283,31.868649229999999,74.580526860000006,Sheikhupura
41,57,30.356223040000000,71.254954130000002,Muzaffargarh
42,116,30.423449229999999,70.962776869999999,Muzaffargarh
43,135,30.516797740000001,70.871232370000001,Muzaffargarh
44,148,30.673572960000001,71.309204240000000,Muzaffargarh
45,156,29.739709330000000,70.845981069999993,Muzaffargarh
46,162,29.093781809999999,70.662174219999997,Muzaffargarh
47,216,29.392138079999999,70.809980859999996,Muzaffargarh
48,234,29.891745310000001,70.903221740000006,Muzaffargarh
49,238,29.284162580000000,70.859789000000006,Muzaffargarh
50,260,29.132412410000001,70.579807340000002,Muzaffargarh
51,268,29.810375239999999,71.164179489999995,Muzaffargarh
52,272,29.349495829999999,70.646049379999994,Muzaffargarh
53,278,30.467518840000000,71.478628790000002,Muzaffargarh
54,9,32.079699820000002,72.794882459999997,Sargodha
55,10,32.275575709999998,73.122651610000005,Sargodha
56,24,32.245582980000002,72.357265100000006,Sargodha
57,28,32.326186929999999,72.955735329999996,Sargodha
58,67,32.350098170000003,72.497228399999997,Sargodha
59,112,32.103080450000000,72.348023150000003,Sargodha
60,145,32.458340149999998,72.890135749999999,Sargodha
61,146,31.878018529999999,72.902687090000001,Sargodha
62,180,32.338168639999999,72.648251369999997,Sargodha
63,247,32.288909529999998,72.843756060000004,Sargodha
64,251,31.712193790000001,72.441571789999998,Sargodha
65,36,29.633561170000000,71.353065819999998,Multan
66,102,30.281990550000000,71.634147530000007,Multan
67,126,29.424477039999999,71.326913450000006,Multan
68,130,29.696981539999999,71.256119499999997,Multan
69,69,30.592502889999999,73.192302949999998,Sahiwal
70,80,30.247183969999998,72.489525470000004,Sahiwal
71,82,30.694404070000001,72.852045430000004,Sahiwal
72,93,30.470372520000002,72.596723159999996,Sahiwal
73,193,30.785627009999999,73.282182989999995,Sahiwal
74,215,30.582588120000000,72.831727670000006,Sahiwal
75,265,30.660822209999999,73.248279120000007,Sahiwal
76,50,31.392425549999999,72.603673909999998,Jhang
77,56,30.952745080000000,72.096876289999997,Jhang
78,61,31.503435660000001,72.382461590000005,Jhang
79,66,31.229797460000000,72.412414810000001,Jhang
80,73,30.950099290000001,71.965902659999998,Jhang
81,160,30.991664730000000,72.247544140000002,Jhang
82,161,30.981937930000001,71.844284750000000,Jhang
83,185,31.619611970000001,72.142543619999998,Jhang
84,208,30.824075830000002,72.178956510000006,Jhang
85,214,31.655437849999998,72.129625509999997,Jhang
86,246,30.860737459999999,71.861906059999995,Jhang
87,280,31.661388859999999,72.186400449999994,Jhang
88,19,33.065500610000001,73.719095899999999,Jhelum
89,60,32.816114829999997,73.557498280000004,Jhelum
90,22,31.162420370000000,73.748074630000005,Kasur
91,123,31.076747579999999,73.834443379999996,Kasur
92,263,31.105718849999999,74.004916719999997,Kasur
93,287,31.056415340000001,74.286362639999993,Kasur
94,11,30.480910309999999,72.002416389999993,Khanewal
95,152,30.530384659999999,71.974771529999998,Khanewal
96,153,30.096483310000000,71.921100839999994,Khanewal
97,199,30.484221349999999,71.939038289999999,Khanewal
98,203,30.715757360000001,72.030196099999998,Khanewal
99,211,30.392911399999999,71.821181920000001,Khanewal
100,225,30.206989480000001,71.953873569999999,Khanewal
101,291,30.380579189999999,72.205820009999997,Khanewal
102,298,30.473823780000000,72.061492900000005,Khanewal
103,1,32.030100210000001,71.879210299999997,Khushab
104,12,31.816929170000002,71.757135180000006,Khushab
105,37,31.733464300000001,71.801706890000006,Khushab
106,138,31.896834089999999,72.111516820000006,Khushab
107,147,32.017538039999998,72.213150189999993,Khushab
108,149,32.393125009999999,72.485807030000004,Khushab
109,187,32.318012250000002,72.108312690000005,Khushab
110,188,32.445350429999998,71.947043230000006,Khushab
111,227,32.471510860000002,72.061745790000003,Khushab
112,235,32.114934650000002,71.778863220000005,Khushab
113,241,32.291450449999999,71.810079009999995,Khushab
114,248,31.791111220000001,71.734760410000007,Khushab
115,290,32.194859340000001,72.020562970000000,Khushab
116,95,31.459964360000001,74.200429270000001,Lahore
117,172,31.364372560000000,74.125681099999994,Lahore
118,224,31.496958350000000,74.221206989999999,Lahore
119,16,30.872294260000000,71.025923419999998,Layyah
120,17,31.015294300000001,71.317949209999995,Layyah
121,21,30.667489119999999,70.824106020000002,Layyah
122,34,30.612861250000002,71.592231190000007,Layyah
123,48,31.075000060000001,70.977679960000003,Layyah
124,58,30.866660130000000,71.595424899999998,Layyah
125,94,30.701913730000001,71.058082909999996,Layyah
126,166,30.869852940000001,71.393212169999998,Layyah
